,time,instanceCode,durationMS,requete,nbLignes
141801,2021-01-31 23:23:42.315000151,OZASGBNI,6278.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672201) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141802,2021-01-31 23:23:52.990000152,OZASGBNI,7390.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",837.0
141803,2021-01-31 23:23:59.165000153,OZASGBNI,6132.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672278) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141804,2021-01-31 23:24:07.709000154,OZASGBNI,7299.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",18.0
141805,2021-01-31 23:24:14.098000155,OZASGBNI,6325.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672277) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141806,2021-01-31 23:24:20.331000156,OZASGBNI,6147.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141807,2021-01-31 23:24:26.507000157,OZASGBNI,6137.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672203) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141808,2021-01-31 23:24:36.584000158,OZASGBNI,7328.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",426.0
141809,2021-01-31 23:24:42.772000159,OZASGBNI,6148.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l join vt_ligbudrist lb on lb.nocdeligliv = l.ik where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and lb.ik in (select ik from ik_lig_tmp_9130672200) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",0.0
141810,2021-01-31 23:24:51.471000160,OZASGBNI,7217.0,"insert into vt_ligbudristretransfert (ik,nocdeligliv) select l.ik, l.ik from vt_hist_cdeligliv l where l.nobonliv in (select nobonliv from vt_envoibonlivstat where flagtransfert = ?) and l.ik in (select lb.nocdeligliv from vt_ligbudrist lb join vt_ligbudrist_lig lbl on lbl.noligbudrist = lb.ik where lbl.nobudrist = ? and lb.datref >= ?) minus select nocdeligliv, nocdeligliv from vt_ligbudristretransfert",30.0
